15	20	1	3	2	6	3	2	1	3	3	2	3	0	2	3	1	3	2	3	2	1	1	4	4	3	1	2	2	4	3	3	2	1	4	3	3	2	2	3	2	3	2	2	4	2	2	2	3	3	2	5	5	1	1	5	4	1	1	4	5	1	1	6	6	1	4	2.4117647059	2.6071428571	3	2.75	2.75	2.7777777778	2.6666666667	2.4	2	1.8333333333	2.3333333333
16	20	1	3	2	2	3	1	0	2	3	2	2	2	3	0	2	3	0	2	0	2	3	4	4	3	1	3	1	3	2	3	4	1	3	1	2	3	4	3	2	3	3	4	4	3	2	4	4	3	2	5	5	1	1	6	1	1	1	4	1	1	1	5	6	1	4	2.1176470588	2.8214285714	3	2.25	1.75	2.8888888889	2.4444444444	3.1	1.8	1.6666666667	1.8333333333
17	19	0	2	2	3	3	3	0	3	2	2	2	-999	0	1	3	1	2	1	3	2	2	4	3	2	1	4	4	4	3	4	4	1	3	2	3	4	2	3	4	4	4	1	3	3	2	4	4	3	4	5	6	4	5	5	3	1	1	5	5	4	5	6	5	1	2	-999	3.1071428571	4.25	3.5	4.5	2.7777777778	3.3333333333	3.2	1.6	2	1.6666666667
18	25	2	3	2	6	2	0	0	3	2	2	3	0	2	3	1	3	3	2	2	3	2	4	4	1	1	1	3	3	1	4	2	1	3	3	3	1	2	3	1	4	4	1	4	1	3	4	3	4	1	6	4	5	5	5	1	1	4	4	4	4	1	4	6	1	4	2.1176470588	2.5	3	3.75	4.25	2.4444444444	2.4444444444	2.6	1.6	2	2.1666666667
19	28	2	3	2	6	3	1	0	3	1	2	3	0	3	2	3	2	0	3	0	3	0	4	4	3	1	2	1	3	3	4	3	1	3	2	4	3	1	4	4	3	2	1	4	3	3	4	2	4	4	5	6	5	4	6	4	5	5	4	5	5	4	6	6	2	4	2.1764705882	2.8571428571	5	4.75	4.75	2.8888888889	2.8888888889	2.8	1.4	1	2.6666666667
20	25	2	3	2	6	3	2	1	2	0	2	1	1	2	2	1	3	2	1	1	1	2	3	4	2	1	1	3	4	2	3	4	1	2	1	3	3	3	3	1	3	3	1	3	4	3	4	2	4	1	5	5	1	1	5	4	4	4	5	5	3	1	3	4	2	4	2.1176470588	2.5714285714	3.75	3.5	3.5	2.1111111111	2.7777777778	2.8	1.4	1.6666666667	1.6666666667
21	19	0	2	2	6	2	2	0	3	2	3	2	1	2	0	2	2	3	3	2	0	1	4	4	3	1	2	4	3	3	4	4	1	4	3	2	2	3	4	2	4	3	1	3	2	3	4	2	4	2	1	1	1	1	4	4	4	4	1	1	5	4	5	6	1	5	2.0588235294	2.8928571429	2.5	3.25	2	2.8888888889	3	2.8	1.2	1.8333333333	2.1666666667
22	24	1	3	2	5	3	3	3	3	2	3	3	2	2	3	2	3	3	2	2	1	2	4	4	4	1	4	4	4	2	4	3	1	4	4	4	3	4	3	4	3	4	1	3	4	3	4	3	4	4	7	7	1	1	6	6	7	1	6	6	1	7	4	6	2	2	2.7058823529	3.3571428571	7	3.5	3.5	3	3.2222222222	3.8	2.4	2.5	2.5
23	19	0	3	2	6	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	4	4	1	3	3	4	2	3	2	1	3	1	3	4	1	3	2	2	3	1	4	3	3	4	1	4	2	5	6	4	1	6	6	6	4	6	5	5	5	5	5	1	4	1.1176470588	2.6071428571	5.5	4.25	5	2.1111111111	2.8888888889	2.8	0.2	0.1666666667	0.1666666667
24	25	2	2	2	6	1	1	0	2	0	2	1	0	1	2	3	0	0	0	0	2	0	4	4	3	1	4	3	4	3	4	4	1	4	4	4	4	3	4	2	4	3	1	4	4	3	4	4	4	2	6	6	1	1	6	1	1	4	4	6	1	1	6	6	1	4	1.5882352941	3.3214285714	3.5	3	3	3.1111111111	3.2222222222	3.6	0.6	0.3333333333	1.6666666667
25	22	1	3	2	6	1	2	0	1	2	1	1	0	0	0	2	0	1	1	0	0	0	1	4	4	1	1	2	3	2	1	3	1	4	1	3	2	1	3	1	1	1	2	4	3	2	1	1	3	1	1	1	1	1	5	1	1	3	5	1	4	1	4	5	1	2	1.5294117647	2.0357142857	1	2.5	2.75	2.2222222222	2.1111111111	1.8	0.8	0.5	0.8333333333
26	24	1	3	1	6	2	0	0	2	0	2	2	0	1	2	1	3	1	3	1	2	0	4	4	2	1	4	3	2	2	3	4	1	3	2	3	4	2	3	4	3	2	1	3	3	1	3	2	4	4	6	6	6	4	6	5	1	6	5	6	6	4	6	6	1	5	1.7647058824	2.75	4.25	5.25	5.75	2.7777777778	3	2.5	1	1	1.8333333333
27	23	1	3	2	3	0	0	0	3	2	2	1	1	0	1	0	0	0	1	2	1	0	4	4	3	1	2	1	4	3	4	3	1	4	1	4	3	1	4	4	3	1	3	4	3	4	3	1	4	4	1	6	6	6	1	1	1	6	1	1	6	1	3	3	2	2	1.5294117647	2.8928571429	2.25	3.5	3.5	3.1111111111	3	2.6	0.6	0.6666666667	1.1666666667
28	24	1	3	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	2	2	2	3	4	2	4	1	1	4	1	7	7	5	6	7	2	-999	4	6	7	5	5	3	1	2	5	1.1764705882	1.6785714286	4.75	4.75	5.75	1.8888888889	1.6666666667	1.5	0.2	0.3333333333	0.1666666667
29	20	1	3	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	4	2	1	2	1	4	1	7	6	6	6	6	6	6	4	-999	6	6	6	6	6	1	2	1	1.3214285714	6.25	5.5	4.5	1.3333333333	1.4444444444	1.2	0	0	0.1666666667
30	24	1	3	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	6	6	6	6	5	7	6	7	6	5	7	1	2	5	0.9411764706	1	6	6.25	6.25	1	1	1	0	0	0
31	20	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	2	2	7	7	7	7	5	4	4	1	1	0.9411764706	1	5.25	5.75	7	1	1	1	0	0	0
